"asn","tg_op"
11888,"MX03"
6503,"MX01"
36884,"NULL"
6713,"MA01"
286,"NL03"
31615,"NULL"
15670,"NL04"
15480,"NULL"
15435,"NL02"
13127,"NL04"
9143,"NL06"
8737,"NL03"
6830,"NL05"
5390,"NL07"
1134,"NULL"
1257,"NL04"
38793,"NULL"
17746,"NZ06"
9790,"NZ05"
9325,"NZ01"
7657,"NZ03"
4771,"NZ01"
4768,"NZ03"
4648,"NZ01"
2570,"NZ01"
17412,"NULL"
2116,"NO06"
2119,"NO04"
41164,"NO01"
15659,"NO02"
12929,"NULL"
8786,"NO04"
3307,"NO06"
1257,"NULL"
38264,"PK02"
38547,"PK03"
38616,"PK04"
38710,"PK04"
45595,"PK01"
17557,"PK01"
11556,"PA01"
27702,"NULL"
12252,"PE02"
6147,"PE01"
24106,"NULL"
45664,"PH06"
10139,"PH07"
9658,"PH04"
9497,"PH07"
9299,"PH07"
7629,"NULL"
6648,"PH01"
4775,"PH05"
29314,"PL08"
39603,"NULL"
43447,"PL09"
43939,"PL02"
21021,"PL01"
15857,"PL02"
12968,"PL02"
12912,"NULL"
12741,"PL02"
12476,"PL06"
8374,"NULL"
6830,"PL06"
5617,"PL09"
30824,"PL01"
9141,"PL06"
16366,"PL06"
12743,"PL09"
34275,"PL06"
24698,"PT04"
42863,"NULL"
15525,"PT02"
15457,"PT04"
13156,"PT01"
12542,"PT04"
12353,"PT05"
3243,"PT02"
2860,"PT04"
1897,"PT04"
25877,"NULL"
14638,"PR02"
11992,"NULL"
10396,"PR04"
35002,"RO03"
48161,"RO03"
21220,"NULL"
12310,"RO02"
12302,"NULL"
9050,"RO05"
8953,"NULL"
8708,"RO04"
6830,"RO06"
6746,"RO06"
34375,"RO04"
25019,"SA04"
34400,"NULL"
35819,"NULL"
47794,"SA02"
15982,"RS03"
15958,"NULL"
9125,"RS01"
8400,"RS02"
28964,"RS01"
45143,"NULL"
55430,"SG05"
17547,"SG01"
10091,"SG05"
9874,"SG05"
9506,"SG04"
4773,"SG01"
4657,"SG05"
4628,"SG02"
3758,"SG04"
28725,"NULL"
15962,"NULL"
6855,"SK02"
6830,"SK03"
5628,"SK02"
29276,"NULL"
33929,"SI05"
34779,"SI02"
41828,"NULL"
21283,"NULL"
16016,"SI04"
12644,"SI05"
8591,"SI01"
5603,"SI03"
3212,"SI05"
36943,"ZA06"
37168,"NULL"
18302,"NULL"
17858,"KR07"
17853,"NULL"
9964,"KR02"
9768,"KR02"
9644,"NULL"
9318,"KR06"
9316,"KR07"
4766,"KR02"
3786,"KR07"
20838,"ES04"
16338,"ES02"
12946,"NULL"
12715,"ES03"
12479,"ES04"
12430,"ES06"
12357,"ES06"
12338,"ES01"
6739,"ES02"
3352,"ES05"
45356,"NULL"
18001,"LK01"
9329,"LK02"
2119,"SE03"
25169,"SE03"
39651,"SE01"
44034,"NULL"
44581,"NULL"
8434,"SE03"
3301,"SE04"
1729,"SE04"
1299,"SE04"
1257,"NULL"
3303,"CH03"
6730,"CH02"
8404,"CH01"
15796,"NULL"
44038,"CH03"
24158,"NULL"
24154,"NULL"
17421,"NULL"
9680,"TW01"
9674,"NULL"
7482,"NULL"
3462,"TW01"
24378,"NULL"
38444,"NULL"
45758,"TH03"
55465,"TH03"
55490,"NULL"
18252,"NULL"
17552,"TH02"
9931,"TH04"
9737,"TH01"
7470,"TH02"
131090,"TH04"
131089,"NULL"
27665,"TT01"
5639,"TT02"
2609,"TN06"
34104,"TR03"
34984,"TR03"
47524,"TR02"
47883,"NULL"
20978,"NULL"
16135,"NULL"
15897,"NULL"
9121,"TR01"
8386,"TR06"
25229,"UA07"
31343,"NULL"
34058,"NULL"
35233,"NULL"
35757,"UA07"
39536,"UA07"
42336,"UA07"
42396,"NULL"
42471,"UA07"
49559,"UA07"
21497,"NULL"
21219,"UA02"
15895,"NULL"
12883,"UA06"
12530,"NULL"
8788,"NULL"
8359,"NULL"
6877,"UA05"
6849,"UA05"
6703,"UA06"
12421,"NULL"
15802,"AE01"
5384,"AE02"
2529,"NULL"
2856,"GB02"
4589,"GB01"
5089,"GB09"
5388,"NULL"
5607,"GB01"
8897,"GB05"
9105,"GB04"
12390,"GB05"
12576,"NULL"
13285,"GB04"
21327,"NULL"
25041,"GB02"
29180,"GB01"
29328,"GB07"
35228,"GB01"
35736,"GB07"
43234,"GB04"
5462,"GB09"
7132,"US19"
19262,"US16"
22773,"US09"
33651,"US07"
209,"US20"
33491,"US07"
6128,"US02"
6389,"US19"
33650,"US07"
7015,"US07"
7725,"US07"
20214,"US07"
33287,"US07"
16586,"US06"
33652,"US07"
33657,"US07"
33668,"US07"
33490,"US07"
7922,"US07"
33363,"US01"
6478,"US19"
13367,"US07"
7016,"US07"
33662,"US07"
7029,"US17"
7018,"US19"
5650,"US12"
33660,"US07"
36727,"US15"
21508,"US07"
7757,"US07"
13432,"US09"
22258,"US07"
7011,"US12"
2379,"US20"
22394,"NULL"
5668,"US20"
33489,"US07"
33654,"US07"
6181,"US05"
22561,"NULL"
10507,"NULL"
4323,"US15"
5778,"US20"
30036,"US14"
33661,"US07"
33666,"US07"
22318,"US09"
33653,"US07"
701,"NULL"
11530,"US20"
20057,"NULL"
20255,"UY02"
19422,"NULL"
6057,"UY01"
27717,"NULL"
27889,"NULL"
21826,"VE02"
8048,"VE01"
6306,"NULL"
24086,"VN04"
45899,"VN03"
18403,"VN01"
7552,"NULL"
28717,"NULL"
31027,"NULL"
31661,"DK01"
33796,"NULL"
34823,"NULL"
34848,"NULL"
34932,"NULL"
35376,"NULL"
35637,"NULL"
39642,"NULL"
42525,"NULL"
43557,"NULL"
47154,"NULL"
16245,"NULL"
16095,"NULL"
15516,"DK01"
9167,"NULL"
1835,"NULL"
553,"NULL"
680,"NULL"
702,"NULL"
1668,"NULL"
6724,"NULL"
8422,"DE07"
8560,"NULL"
8972,"NULL"
12312,"NULL"
15747,"NULL"
20676,"NULL"
20773,"NULL"
24940,"NULL"
28753,"NULL"
31399,"NULL"
8767,"NULL"
27747,"NULL"
27813,"NULL"
27927,"NULL"
27984,"NULL"
28114,"NULL"
20207,"NULL"
16814,"NULL"
10481,"AR01"
10318,"AR01"
3549,"NULL"
27833,"NULL"
23702,"NULL"
24105,"NULL"
24436,"NULL"
38285,"AU05"
38333,"NULL"
38640,"NULL"
56132,"NULL"
19271,"NULL"
18390,"NULL"
18359,"NULL"
18291,"NULL"
18104,"NULL"
17819,"NULL"
17561,"NULL"
17486,"NULL"
10143,"NULL"
10113,"NULL"
9942,"NULL"
9822,"NULL"
9723,"NULL"
9650,"NULL"
9556,"NULL"
9555,"NULL"
9543,"AU02"
9315,"NULL"
7718,"NULL"
7575,"NULL"
7573,"NULL"
7543,"NULL"
4854,"NULL"
703,"NULL"
9797,"NULL"
45611,"NULL"
23604,"NULL"
38484,"NULL"
18111,"NULL"
4764,"NULL"
24093,"NULL"
23871,"NULL"
7496,"NULL"
679,"NULL"
760,"NULL"
1109,"NULL"
1110,"NULL"
1113,"NULL"
1205,"NULL"
1853,"NULL"
3248,"AT01"
5385,"NULL"
5403,"NULL"
6720,"NULL"
8245,"NULL"
8339,"NULL"
8445,"NULL"
12605,"NULL"
35369,"NULL"
39518,"NULL"
39912,"NULL"
23688,"NULL"
23893,"NULL"
23923,"NULL"
23956,"NULL"
24122,"NULL"
24323,"NULL"
24342,"NULL"
24481,"NULL"
38023,"NULL"
38031,"NULL"
38267,"NULL"
38556,"NULL"
38558,"NULL"
38712,"NULL"
45276,"NULL"
45951,"BD03"
56115,"NULL"
18230,"NULL"
17806,"NULL"
17494,"BD01"
17471,"NULL"
17469,"NULL"
9832,"NULL"
9230,"NULL"
7565,"NULL"
38203,"NULL"
38137,"NULL"
38200,"NULL"
38071,"NULL"
38230,"NULL"
38067,"NULL"
24556,"NULL"
24827,"NULL"
20852,"BY01"
12406,"NULL"
29587,"NULL"
39318,"NULL"
48315,"NULL"
48517,"NULL"
13127,"NULL"
12392,"NULL"
9208,"NULL"
9031,"NULL"
8220,"NULL"
8201,"NULL"
3304,"BE01"
2611,"NULL"
34665,"NULL"
35567,"NULL"
42432,"NULL"
42450,"NULL"
42560,"NULL"
43179,"NULL"
47959,"NULL"
16178,"NULL"
42571,"NULL"
9119,"NULL"
42983,"NULL"
1251,"NULL"
1916,"NULL"
2715,"NULL"
3549,"NULL"
4230,"BR05"
6505,"NULL"
17379,"BR12"
23106,"NULL"
27715,"NULL"
27724,"NULL"
28202,"NULL"
28220,"NULL"
28260,"NULL"
28270,"NULL"
28347,"NULL"
28571,"NULL"
28652,"NULL"
53128,"NULL"
2510,"NULL"
2518,"JP09"
2519,"NULL"
2527,"NULL"
2554,"NULL"
2907,"NULL"
2914,"NULL"
4685,"NULL"
4694,"NULL"
4713,"JP06"
4721,"NULL"
7506,"NULL"
7514,"NULL"
7672,"NULL"
9370,"NULL"
9371,"NULL"
9595,"NULL"
9600,"NULL"
9617,"JP04"
9824,"JP04"
10010,"NULL"
10013,"NULL"
17506,"NULL"
17511,"NULL"
17819,"NULL"
17941,"NULL"
38462,"NULL"
38640,"NULL"
55386,"NULL"
55475,"NULL"
56291,"NULL"
4691,"NULL"
39559,"NULL"
42912,"NULL"
44466,"NULL"
44702,"NULL"
47887,"NULL"
57393,"NULL"
21088,"NULL"
12524,"NULL"
8934,"NULL"
8452,"NULL"
33770,"KE03"
33771,"NULL"
36866,"NULL"
36914,"NULL"
37219,"NULL"
21280,"NULL"
17175,"NULL"
12491,"NULL"
12440,"NULL"
5713,"NULL"
9129,"NULL"
16422,"NULL"
24589,"NULL"
24620,"NULL"
28843,"NULL"
29600,"NULL"
34001,"NULL"
34354,"NULL"
35333,"NULL"
39365,"NULL"
41563,"NULL"
41898,"NULL"
43075,"NULL"
44220,"NULL"
44483,"NULL"
48722,"NULL"
21156,"NULL"
21016,"NULL"
20797,"NULL"
20662,"NULL"
12993,"NULL"
8605,"NULL"
